Algorithm,Array Size,Run 1 (ms),Run 2 (ms),Run 3 (ms),Run 4 (ms),Run 5 (ms),Run 6 (ms),Run 7 (ms),Run 8 (ms),Run 9 (ms),Run 10 (ms),Run 11 (ms),Run 12 (ms),Run 13 (ms),Run 14 (ms),Run 15 (ms),Run 16 (ms),Run 17 (ms),Run 18 (ms),Run 19 (ms),Run 20 (ms),Run 21 (ms),Run 22 (ms),Run 23 (ms),Run 24 (ms),Run 25 (ms),Run 26 (ms),Run 27 (ms),Run 28 (ms),Run 29 (ms),Run 30 (ms)
QuickSort,10,0.057,0.013,0.008,0.007,0.007,0.018,0.009,0.009,0.009,0.008,0.006,0.016,0.006,0.018,0.025,0.007,0.008,0.006,0.010,0.016,0.008,0.005,0.005,0.005,0.006,0.026,0.004,0.015,0.011,0.005
QuickSort,100,0.041,0.078,0.055,0.065,0.025,0.029,0.031,0.031,0.026,0.012,0.012,0.013,0.012,0.032,0.020,0.012,0.018,0.010,0.010,0.009,0.009,0.009,0.025,0.014,0.013,0.023,0.023,0.014,0.016,0.016
QuickSort,1000,0.206,0.207,0.189,0.191,0.208,0.205,0.204,0.201,0.200,0.199,0.203,0.190,0.190,0.215,0.128,0.139,0.139,0.131,0.147,0.118,0.090,0.097,0.103,0.090,0.097,0.098,0.095,0.095,0.094,0.094
QuickSort,10000,1.151,1.044,1.222,0.961,0.980,1.018,0.993,1.172,1.166,1.179,1.286,1.114,0.933,1.081,0.970,1.247,1.216,1.118,1.198,1.022,1.244,1.169,1.186,1.158,0.990,1.155,1.093,1.239,1.168,1.141
QuickSort,100000,12.643,16.995,18.942,12.453,12.809,13.726,13.899,12.022,10.626,9.776,11.164,11.919,11.090,10.508,10.477,10.867,11.287,13.545,11.641,11.643,11.109,11.244,11.117,11.628,10.482,10.532,12.445,12.308,11.636,11.216
BubbleSort,10,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
BubbleSort,100,0.141,0.136,0.136,0.141,0.117,0.116,0.113,0.121,0.112,0.117,0.129,0.133,0.124,0.046,0.030,0.031,0.042,0.030,0.027,0.044,0.025,0.026,0.024,0.024,0.028,0.024,0.025,0.024,0.025,0.025
BubbleSort,1000,2.519,1.102,0.871,1.192,0.881,0.671,0.688,0.778,0.791,0.745,0.741,0.749,0.626,0.626,0.634,0.683,0.733,0.917,0.795,0.731,0.788,0.670,0.652,0.626,0.690,0.707,0.719,0.653,0.707,0.711
BubbleSort,10000,86.506,86.408,85.336,81.473,76.226,77.940,74.129,75.361,77.458,76.718,79.789,82.639,91.680,93.238,91.166,91.467,84.222,84.597,85.356,86.282,80.562,77.339,78.689,79.559,79.066,78.341,78.858,79.490,78.272,75.644
BubbleSort,100000,10657.820,10703.019,10693.524,10703.411,10866.760,11473.871,10754.686,10866.297,10740.549,10544.864,10507.303,10486.443,10474.740,10471.558,10476.753,10518.478,10523.931,10465.786,10473.692,10465.372,10467.296,10474.079,10473.850,10458.589,10475.501,10460.902,10452.247,10474.857,10470.940,10475.302
BubbleSort,1000000,1072776.427,1064705.752,1063583.442,1063693.980,1064069.444,1063966.057,1064808.307,1064436.036,1064326.405,1064484.527,1063408.970,1063981.943,1064369.186,1064471.011,1064598.980,1064379.979,1063645.958,1063889.328,1064551.763,1064730.530,1064540.509,1064205.712,1065095.282,1064833.437,1064126.590,1064366.564,1063891.252,1064564.961,1064272.318,1067366.175
BucketSort,10,0.095,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.008,0.006,0.005,0.005,0.006,0.007,0.007,0.005,0.005,0.006,0.006,0.011,0.007,0.006,0.006,0.005
BucketSort,100,0.061,0.046,0.044,0.179,0.038,0.036,0.036,0.045,0.067,0.056,0.043,0.123,0.045,0.034,0.031,0.033,0.031,0.033,0.036,0.034,0.032,0.032,0.031,0.032,0.032,0.032,0.031,0.032,0.032,0.032
BucketSort,1000,0.332,0.328,0.343,0.310,0.306,0.336,0.377,0.305,0.370,0.336,0.323,0.324,0.316,0.317,0.327,0.332,0.325,0.294,0.220,0.208,0.216,0.237,0.118,0.099,0.084,0.086,0.079,0.081,0.076,0.078
BucketSort,10000,0.867,0.854,0.846,0.918,0.867,0.730,0.720,0.710,0.739,0.764,0.715,0.730,0.707,0.711,0.742,0.798,0.734,0.713,0.709,0.720,0.760,0.709,0.701,0.699,0.711,0.767,0.746,0.708,0.695,0.712
BucketSort,100000,9.157,5.120,5.352,5.136,5.352,5.205,5.182,5.479,5.397,5.158,9.969,5.091,5.075,5.215,5.558,5.255,5.011,5.044,5.140,5.005,5.123,5.338,5.330,5.110,5.287,5.013,8.725,5.102,4.987,5.190
BucketSort,1000000,196.823,214.648,209.755,175.043,164.759,188.669,181.125,251.620,177.746,177.437,182.634,180.687,167.696,165.944,165.029,293.252,189.115,161.105,208.165,165.496,153.945,214.425,163.647,252.971,153.619,152.046,272.038,155.798,222.472,212.743
MergeSort,10,0.025,0.004,0.006,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.006,0.004,0.010,0.007,0.004,0.004,0.004,0.004,0.007,0.005,0.010,0.004
MergeSort,100,0.055,0.056,0.050,0.053,0.051,0.052,0.054,0.057,0.051,0.053,0.069,0.075,0.060,0.042,0.039,0.039,0.049,0.066,0.054,0.038,0.037,0.040,0.075,0.027,0.028,0.053,0.026,0.032,0.029,0.039
MergeSort,1000,0.346,0.367,0.385,0.243,0.124,0.129,0.111,0.120,0.126,0.119,0.112,0.128,0.126,0.136,0.153,0.132,0.154,0.101,0.106,0.105,0.128,0.102,0.114,0.111,0.101,0.098,0.103,0.101,0.101,0.105
MergeSort,10000,1.386,1.377,0.950,0.915,0.897,0.994,0.897,0.899,0.895,0.958,0.906,0.977,0.894,0.893,1.125,1.067,1.037,1.056,1.021,0.938,0.975,0.959,0.997,1.018,0.892,0.794,0.788,0.749,0.740,0.749
MergeSort,100000,9.426,10.065,9.618,9.383,9.501,9.419,9.251,9.248,9.446,9.610,9.299,9.221,33.491,9.079,9.316,9.278,9.360,9.263,9.321,9.315,9.399,10.264,20.431,9.272,9.159,9.529,9.471,9.505,9.543,9.376
